_id,modeId,startTime,endTime,accountId,nickname,level,score,gradingScore
8YpE3RGt8wg,11,2023/1/7 9:31,2023/1/7 9:46,69922136,いおり530,10401,30900,76
8Yp8mnzRJFg,11,2023/1/7 8:19,2023/1/7 8:38,69922136,いおり530,10401,18200,-11
8Yp7fBBr7pn,11,2023/1/7 8:04,2023/1/7 8:15,69922136,いおり530,10401,18600,-11
8Yp5j5Em9Da,11,2023/1/7 7:38,2023/1/7 8:00,69922136,いおり530,10401,35300,81
8Yoz4inG0xm,11,2023/1/7 6:07,2023/1/7 6:18,69922136,いおり530,10401,28900,39
8YoyKROCCdB,11,2023/1/7 5:57,2023/1/7 6:06,69922136,いおり530,10401,16600,-103
8Youp0NqES6,11,2023/1/7 5:09,2023/1/7 5:21,69922136,いおり530,10401,20400,-9
8YotenGLTIe,11,2023/1/7 4:53,2023/1/7 5:06,69922136,いおり530,10401,48300,94
8YnywdmEwpS,11,2023/1/6 15:58,2023/1/6 16:32,69922136,いおり530,10401,9300,-110
8YnxkgdRaSf,11,2023/1/6 15:41,2023/1/6 15:53,69922136,いおり530,10401,34400,80
8YnwD76slTB,11,2023/1/6 15:20,2023/1/6 15:41,69922136,いおり530,10401,41400,87
8YntHcIeISh,11,2023/1/6 14:40,2023/1/6 14:56,69922136,いおり530,10401,20600,-9
8YnmeLkSiMc,11,2023/1/6 13:10,2023/1/6 13:29,69922136,いおり530,10401,16600,-103
8Ynhf9oU644,11,2023/1/6 12:02,2023/1/6 12:15,69922136,いおり530,10401,23400,-6
8YngOjOzslI,11,2023/1/6 11:44,2023/1/6 11:59,69922136,いおり530,10401,24900,35
8YnZO08SUBo,11,2023/1/6 10:08,2023/1/6 10:33,69922136,いおり530,10401,-2700,-122
8YnWga7KKUf,11,2023/1/6 9:32,2023/1/6 9:45,69922136,いおり530,10401,19000,-101
8YnUodE795M,11,2023/1/6 9:06,2023/1/6 9:20,69922136,いおり530,10401,34200,80
8YmEo7zB4QM,11,2023/1/5 15:20,2023/1/5 15:40,69922136,いおり530,10401,28000,38
8YmByRGWiln,11,2023/1/5 14:41,2023/1/5 14:58,69922136,いおり530,10401,21600,-8
8YmB5gxXQgP,11,2023/1/5 14:29,2023/1/5 14:40,69922136,いおり530,10401,21000,31
8Ym09fFZXCr,11,2023/1/5 12:00,2023/1/5 12:13,69922136,いおり530,10401,17400,-102
8YlyBk40UGV,11,2023/1/5 11:33,2023/1/5 11:50,69922136,いおり530,10401,31500,42
8Ylt2c4xqlE,11,2023/1/5 10:22,2023/1/5 10:42,69922136,いおり530,10401,24500,-5
8YlrQBUgLdq,11,2023/1/5 10:00,2023/1/5 10:18,69922136,いおり530,10401,25000,35
8YlpsYBx12D,11,2023/1/5 9:39,2023/1/5 9:57,69922136,いおり530,10401,30700,76
8YkVm8eutU8,11,2023/1/4 14:57,2023/1/4 15:11,69922136,いおり530,10401,11400,-108
8YkQjGmmb7g,11,2023/1/4 13:48,2023/1/4 14:08,69922136,いおり530,10401,30200,1
8YkOCxs8QkP,11,2023/1/4 13:14,2023/1/4 13:40,69922136,いおり530,10401,22700,33
8YkMt74YgPq,11,2023/1/4 12:56,2023/1/4 13:10,69922136,いおり530,10401,17900,-12
8YkFD9FeQRH,11,2023/1/4 11:11,2023/1/4 11:32,69922136,いおり530,10401,41600,87
8YkBAVGLe4Y,11,2023/1/4 10:16,2023/1/4 10:41,69922136,いおり530,10401,38300,84
8Yk0GIzSvc4,11,2023/1/4 7:47,2023/1/4 7:57,69922136,いおり530,10401,25500,-4
8YjzAzpXvqp,11,2023/1/4 7:32,2023/1/4 7:46,69922136,いおり530,10401,23200,-6
8YjuAluBZW1,11,2023/1/4 6:23,2023/1/4 6:38,69922136,いおり530,10401,27500,38
8Yjk1hygtjL,11,2023/1/4 4:05,2023/1/4 4:29,69922136,いおり530,10401,12000,-108
8YixiimaUug,11,2023/1/3 17:05,2023/1/3 17:20,69922136,いおり530,10401,900,-119
8Yivv5DCvcr,11,2023/1/3 16:40,2023/1/3 17:02,69922136,いおり530,10401,29900,40
8YioeB5YP45,11,2023/1/3 15:01,2023/1/3 15:16,69922136,いおり530,10401,10900,-109
8YinFtwvgHW,11,2023/1/3 14:42,2023/1/3 14:51,69922136,いおり530,10401,23000,-7
8YilnMEsc4b,11,2023/1/3 14:22,2023/1/3 14:33,69922136,いおり530,10401,37000,82
8YijMzHCCqV,11,2023/1/3 13:49,2023/1/3 14:04,69922136,いおり530,10401,15900,-14
8YihWqmlcV3,11,2023/1/3 13:23,2023/1/3 13:43,69922136,いおり530,10401,-5000,-125
