index,name,seat,riichi_turn,tsumo_counts,naki_counts,total_draw_counts,riichi_turn_by_tsumo,p_runs,markov_p,p_empirical,entropy_bits,cramers_v,tsumogiri_count,points_gained,PC1,PC2,anomaly_flag,CUSUM,kmeans,dbscan,hmm_state
南2-0,Cさん,南,,19,0.0,18,,0.2025894340136438,0.1750915750472214,0.8834,0.5333333333333333,0.1417264968137398,1,-1500,-1.6567644772410661,0.6929136675930341,1,1,1,-1,1
南2-0,Aさん,北,,16,3.0,19,,0.0177187257567703,0.8081778886944169,0.024,0.8088220835496802,0.1929773263327635,13,1500,3.168930126754183,-1.431460852677296,-1,2,0,-1,0
南3-1,Cさん,東,10.0,13,0.0,12,10.833333333333334,0.101014753732503,0.0085146775958303,0.0766,0.7836591668108979,0.1815262689906896,5,14300,1.563973371884078,1.0577612792288293,1,2,2,0,0
南3-1,Aさん,西,,10,3.0,13,,0.0061966636526663,0.161697752724994,0.5694,0.5333333333333333,0.1561245081464045,8,-4100,-0.8809404912530536,-2.0278040918975084,1,2,0,-1,0
南3-1,Bさん,北,,13,0.0,12,,0.2025894340136438,0.2516772655281534,0.1821,0.6503258334775646,0.1755208114761589,6,-4100,0.8588386330403435,0.07571004555609766,1,2,0,0,1
南3-1,Dさん,南,,10,0.0,9,,0.0448883712012402,0.029068112089755,0.6098,0.5584962500721157,0.1561245081464045,3,-4100,-1.195885733418958,-0.4946287925147438,1,2,1,1,0
南3-2,Bさん,北,,13,1.0,14,,0.0448883712012402,0.536499745718678,0.8879,0.4666666666666666,0.1339483812021039,0,0,-2.0023363789970796,-0.3424460220421748,1,2,1,1,0
南3-2,Cさん,東,7.0,15,0.0,14,7.5,0.0066598960787457,0.0152299724038515,0.7621,0.4918295834054489,0.1490993996350282,9,5500,-1.7177000065276993,0.7891624239602093,1,2,1,-1,0
南3-2,Dさん,南,11.0,15,0.0,14,11.785714285714286,0.0448883712012402,0.8093676835763873,0.1748,0.6754887502163469,0.1755208114761589,6,-3500,1.65041818516944,1.7301982088307755,1,2,2,2,0
南3-2,Aさん,西,,13,0.0,12,,0.3636333008538547,0.3850522002280856,0.0835,0.8088220835496802,0.1815262689906896,3,0,2.0209519161641354,0.4977640011923181,1,2,2,0,1
南3-3,Cさん,東,,14,3.0,17,,0.2025894340136438,0.3306281093734922,0.0558,0.8088220835496801,0.1873393108936591,7,13900,2.4213844400680316,-1.397377445272686,1,2,0,-1,1
南3-3,Dさん,南,,15,0.0,14,,0.0448883712012402,0.0180270335328856,0.1532,0.7169925001442312,0.1755208114761589,6,-4300,1.0017083832184321,-0.3189932114992285,1,2,0,0,0
南3-3,Aさん,西,12.0,14,0.0,13,12.923076923076923,0.8958472174108871,0.2631683800404321,0.9429,0.4666666666666666,0.1339483812021039,8,-4300,-2.1841233215955946,3.8067576291181973,-1,3,1,-1,1
南3-3,Bさん,北,,14,0.0,13,,0.0482072062593138,0.1813208485175645,0.0516,0.8503258334775645,0.1873393108936591,2,-4300,2.1991676168035363,-0.34541907886807477,1,3,0,0,0
南3-4,Cさん,東,,17,0.0,16,,0.5873235968543763,0.259760709254407,0.3105,0.5836591668108979,0.162846839442427,4,26200,0.22629119352907415,1.3484479048727636,1,3,2,-1,1
南3-4,Dさん,南,,18,2.0,20,,0.0061966636526663,0.0352939089487985,0.4362,0.6251629167387822,0.162846839442427,8,-8400,0.044897571676981,-1.1060895754138254,1,3,0,0,0
南3-4,Bさん,北,,14,2.0,16,,0.0061966636526663,0.5044574476024146,0.3821,0.5584962500721156,0.162846839442427,4,-8400,0.1713500477987031,-1.0932427382611711,1,3,0,0,0
南3-4,Aさん,西,16.0,17,0.0,16,17.0,0.3636333008538547,0.2206396813630102,0.284,0.7169925001442312,0.1693024636230036,8,-8400,1.0262579995666608,2.988365042248244,1,3,2,-1,1
東1-0,Aさん,東,10.0,13,0.0,12,10.833333333333334,0.3849782090538783,0.0625213657878604,0.079,0.7421554168830135,0.1815262689906896,6,14000,1.4928930003767775,1.77362861875507,1,3,2,2,1
