index,name,seat,p_runs,p_empirical,p_value,entropy_bits,markov_p,cramers_v,riichi_turn,tsumo_counts,naki_counts,total_draw_counts,riichi_turn_by_tsumo,tsumogiri_count,points_gained
南3-2,Cさん,東,0.017718725756770325,0.2872,0.1171830561578424,0.7169925001442312,0.012135419617494203,0.16930246362300364,7,15,,14,7,9,5500
南3-2,Dさん,南,0.04488837120124027,0.8336,0.7899705559920815,0.4918295834054489,0.03170284888508059,0.14172649681373986,11,15,,14,11,6,-3500
南3-2,Aさん,西,0.006196663652666353,0.6175,0.4517749962403542,0.5584962500721156,0.15224913824178524,0.15612450814640452,,13,,12,,3,0
南3-2,Bさん,北,0.048207206259313864,0.2206,0.2885002549179375,0.4918295834054489,0.10113580874621929,0.16930246362300364,,13,1,14,,0,0
南3-3,Cさん,東,0.0005230230780571317,0.9404,0.2885002549179375,0.3584962500721156,0.051129811555457365,0.13394838120210392,,14,3,17,,7,13900
南3-3,Dさん,南,0.04488837120124027,0.5657,0.4517749962403542,0.5836591668108979,0.30065972832460197,0.15612450814640455,,15,,14,,6,-4300
南3-3,Aさん,西,0.38497820905387836,0.6012,1.0,0.6251629167387822,0.2048451789108878,0.15612450814640452,12,14,,13,12,8,-4300
南3-3,Bさん,北,0.04488837120124027,0.4757,0.7756608576091244,0.6251629167387822,0.4273243512564754,0.15612450814640455,,14,,13,,2,-4300
南3-4,Cさん,東,0.20258943401364382,0.3761,0.2996240365820607,0.6918295834054489,0.4147736229416088,0.16284683944242703,,17,,16,,4,26200
南3-4,Dさん,南,0.006196663652666353,0.0997,0.17910991949714677,0.6251629167387822,0.03998735084218455,0.1815262689906896,,18,2,20,,8,-8400
南3-4,Aさん,西,0.8958472174108871,0.8301,0.39101270305143604,0.4666666666666666,0.42486919298211523,0.14172649681373986,16,17,,16,16,8,-8400
南3-4,Bさん,北,0.20258943401364382,0.2862,0.6246387361645669,0.7169925001442312,0.29958896899985954,0.16930246362300364,,14,2,16,,4,-8400
